Words,Emotion
 'crestfallen',Sad
 'criticized',Sad
 'cross',Angry
 'cross-examined',Happy
 'crushed',Sad
 'curious',Surprise
 'cut off',Sad
 'daring',Fear
 'dark',Sad
 'dedicated',Surprise
 'defeated',Sad
 'defenseless',Fear
 'degraded',Sad
 'dejected',Sad
 'depressed',Sad
 'deserted',Sad
 'desirable',Happy
 'despondent',Sad
 'detached',Sad
 'determined',Happy
 'diminished',Sad
 'disappointed',Sad
 'discarded',Sad
 'disconsolate',Sad
 'discontented',Sad
 'discounted',Sad
 'discouraged',Sad
 'disgraced',Sad
 'disgusted',Angry
 'disheartened',Sad
 'disillusioned',Sad
 'disjointed',Fear
 'dismal',Sad
 'dismayed',Fear
 'disoriented',Fear
 'disparaged',Angry
 'displeased',Sad
 'disrespected',Sad
 'distressed',Sad
 'distrustful',Surprise
 'dolorous',Sad
 'doubtful',Fear
 'down',Sad
 'downhearted',Sad
 'dreadful',Sad
 'dreary',Sad
 'dubious',Surprise
 'dull',Sad
 'duped',Angry
 'eager',Surprise
 'earnest',Surprise
 'ecstatic',Happy
 'elated',Happy
 'embarrassed',Sad
 'empathetic',Happy
 'enchanted',Surprise
 'encouraged',Fear
 'engrossed',Surprise
 'enraged',Angry
 'enterprising',Fear
 'enthusiastic',Happy
 'entrusted',Happy
 'esteemed',Happy
 'excited',Happy
 'excluded',Sad
 'exempt',Happy
 'exhausted hopeless',Sad
 'exhilarated',Happy
 'exploited',Angry
 'exposed',Fear
 'fabulous',Happy
 'fainthearted',Fear
 'fantastic',Happy
 'fascinated',Surprise
 'favored',Happy
 'fearful',Fear
 'fervent',Surprise
 'fervid',Surprise
 'festive',Happy
 'flat',Sad
 'focused',Happy
 'forced',Sad
 'forsaken',Sad
 'framed',Angry
 'free',Happy
 'free & easy',Happy
 'frightened',Fear
 'frisky',Happy
 'frustrated',Angry
 'full of anticipation',Surprise
 'full of ennui',Sad
 'fuming',Angry
 'funereal',Sad
 'furious',Angry
 'gallant',Fear
 'genial',Happy
 'glad',Happy
 'gleeful',Happy
 'gloomy',Sad
 'glum',Sad
 'grief-stricken',Sad
 'grieved',Sad
 'guilt',Sad
 'guilty',Happy
 'happy',Happy
 'hardy',Fear
 'heartbroken',Sad
 'heavyhearted',Sad
 'hesitant',Fear
 'high-spirited',Happy
 'hilarious',Happy
 'hopeful',Surprise
 'horny',Fear
 'horrified',Fear
 'hot and bothered',Fear
 'humiliated',Sad
 'humorous',Happy
 'hurt',Sad
 'hysterical',Fear
 'ignored',Sad
 'ill at ease',Sad
 'immobilized',Sad
 'immune',Happy
 'important',Happy
 'impotent',Sad
 'imprisoned',Happy
 'in a huff',Angry
 'in a stew',Angry
 'in control',Fear
 'in fear',Fear
 'in pain',Sad
 'in the dumps',Sad
 'in the zone',Happy
 'incensed',Angry
 'included',Happy
 'indecisive',Surprise
 'independent',Happy
 'indignant',Angry
 'infatuated',Fear
 'inflamed',Angry
 'injured',Sad
 'inquisitive',Surprise
 'insecure',Happy
 'insignificant',Sad
 'intent',Surprise
 'interested',Surprise
 'interrogated',Happy
 'intrigued',Surprise
 'irate',Angry
 'irresolute',Fear
 'irresponsible',Sad
 'irritated',Angry
 'isolated',Sad
 'jaunty',Happy
 'jocular',Happy
 'jolly',Happy
 'jovial',Happy
 'joyful',Happy
 'joyless',Sad
 'joyous',Happy
 'jubilant',Happy
 'justified',Happy
 'keen',Surprise
 'labeled',Happy
 'lackadaisical',Sad
 'lazy',Sad
 'left out',Sad
 'let down',Sad
 'lethargic',Sad
 'lied to',Angry
 'lighthearted',Happy
 'liked',Happy
 'lively',Happy
 'livid',Angry
 'lonely',Sad
 'lonesome',Sad
 'lost',Sad
 'loved',Happy
 'low',Sad
 'lucky',Happy
 'lugubrious',Sad
 'macho',Happy
 'mad',Angry
 'melancholy',Sad
 'menaced',Fear
 'merry',Happy
 'mirthful',Happy
 'misgiving',Fear
 'misunderstood',Sad
 'moody',Sad
 'moping',Sad
 'motivated',Surprise
 'mournful',Sad
 'needed',Surprise
 'needy',Happy
 'nervous',Fear
 'obligated',Sad
 'obsessed',Fear
 'offended',Angry
 'oppressed',Sad
 'optionless',Happy
 'ordinary',Fear
 'organized',Fear
 'out of control',Sad
 'out of sorts',Sad
 'outmaneuvered',Happy
 'outraged',Angry
 'overjoyed',Happy
 'overlooked',Sad
 'overwhelmed',Sad
 'panicked',Fear
 'passionate',Fear
 'passive',Sad
 'pathetic',Sad
 'peaceful',Happy
 'pensive',Surprise
 'perplexed',Surprise
 'phobic',Fear
 'playful',Happy
 'pleased',Happy
 'powerless',Sad
 'pressured',Sad
 'privileged',Happy
 'proud',Happy
 'provoked',Angry
 'punished',Sad
 'put upon',Sad
 'quaking',Fear
 'quiescent',Sad
 'rageful',Angry
 'rapturous',Happy
 'rated',Happy
 'reassured',Fear
 'reckless',Sad
 'redeemed',Happy
 'regretful',Sad
 'rejected',Sad
 'released',Happy
 'remorse',Sad
 'replaced',Sad
 'repulsed',Sad
 'resentful',Angry
 'resolute',Fear
 'respected',Happy
 'responsible',Fear
 'restful',Fear
 'revered',Happy
 'rueful',Sad
 'sad',Sad
 'satisfied',Happy
 'saucy',Happy
 'scared',Fear
 'secure',Fear
 'self-reliant',Fear
 'serene',Happy
 'shaky',Fear
 'shamed',Sad
 'shocked',Surprise
 'significant',Happy
 'singled out',Happy
 'skeptical',Surprise
 'snoopy',Surprise
 'somber',Sad
 'sparkling',Happy
 'spirited',Happy
 'spiritless',Sad
 'sprightly',Happy
 'startled',Surprise
 'stereotyped',Happy
 'stifled',Sad
 'stout hearted',Fear
 'strong',Happy
 'suffering',Sad
 'sulky',Sad
 'sullen',Angry
 'sunny',Happy
 'surprised',Surprise
 'suspicious',Surprise
 'sympathetic',Happy
 'tense',Surprise
 'terrified',Fear
 'terrorized',Fear
 'thankful',Happy
 'threatened',Fear
 'thwarted',Sad
 'timid',Fear
 'timorous',Fear
 'torn',Fear
 'tortured',Sad
 'tragic',Sad
 'tranquil',Happy
 'transported',Happy
 'trapped',Happy
 'tremulous',Fear
 'tricked',Happy
 'turned on',Fear
 'unapproved of',Sad
 'unbelieving',Surprise
 'uncertain',Surprise
 'unconcerned',Sad
 'understood',Happy
 'unfocussed',Sad
 'unlovable',Sad
 'unloved',Sad
 'unmotivated',Sad
 'unshackled',Happy
 'unsupported',Sad
 'up in arms',Angry
 'upset',Fear
 'validated',Happy
 'valued',Happy
 'victimized',Sad
 'violated',Angry
 'virulent',Angry
 'vivacious',Happy
 'vulnerable',Sad
 'wavering',Surprise
 'weak',Sad
 'welcomed',Happy
 'woebegone',Sad
 'woeful',Sad
 'worn down',Sad
 'worn out',Sad
 'worried',Fear
 'worshiped',Happy
 'wrathful',Angry
 'wronged',Happy
 'wrought up',Angry
 'yearning',Fear
 'yellow',Fear
 'zealous',Surprise
 'abandoned',Sad
 'absolved',Happy
 'absorbed',Surprise
 'abused',Sad
 'accepted',Happy
 'aching',Sad
 'acrimonious',Angry
 'addicted',Happy
 'adequate',Fear
 'admired',Happy
 'affectionate',Happy
 'affronted',Happy
 'afraid',Fear
 'airy',Happy
 'alone',Sad
 'ambivalent',Sad
 'apathetic',Sad
 'apprehensive',Surprise
 'arrogant',Happy
 'ashamed',Sad
 'astonished',Surprise
 'at ease',Happy
 'attacked',Fear
 'audacious',Fear
 'autonomous',Happy
 'average',Fear
 'avid',Surprise
 'baffled',Sad
 'bashful',Sad
 'belittled',Sad
 'buoyant',Happy
 'burdened',Sad
 'clouded',Sad
 'committed',Happy
 'compassionate',Happy
 'compelled',Fear
 'dauntless',Fear
 'debonair',Happy
 'deceived',Happy
 'delighted',Happy
 'demoralized',Sad
 'derailed',Fear
 'desirous',Surprise
 'despairing',Sad
 'devastated',Angry
 'diffident',Fear
 'discredited',Sad
 'disheartened',Sad
 'disinclined',Sad
 'disorganized',Sad
 'downcast',Sad
 'entitled',Happy
 'excited',Fear
 'exultant',Happy
 'fidgety',Fear
 'frowning',Sad
 'full of misgiving',Surprise
 'great',Happy
 'hapless',Sad
 'hated',Sad
 'heroic',Fear
 'hostile',Angry
 'in despair',Sad
 'indifferent',Sad
 'infuriated',Angry
 'insecure',Fear
 'inspired',Happy
 'inspiring',Surprise
 'judged',Happy
 'justified',Happy
 'laughting',Happy
 'loved',Happy
 'loving',Happy
 'low',Sad
 'lustful',Fear
 'manipulated',Angry
 'mumpish',Sad
 'nosey',Surprise
 'numb',Sad
 'obliterated',Sad
 'peaceful',Happy
 'petrified',Fear
 'piqued',Angry
 'piteous',Sad
 'powerless',Sad
 'questioning',Surprise
 'rejected',Sad
 'self-satisfied',Happy
 'set up',Happy
 'shut out',Sad
 'sorrowful',Sad
 'spirited',Sad
 'supported',Happy
 'suspicious',Fear
 'terrific',Happy
 'trapped',Happy
 'trembling',Fear
 'uncomfortable',Surprise
 'underestimated',Sad
 'unhappy',Sad
 'vindicated',Happy
 'worked up',Angry
