Words,Emotion
terrible,Fear
terrif,Surprise
terrifi,Fear
terrific,Surprise
terrifically,Surprise
terrified,Fear
terror,Fear
the_green-eyed_monst,Angry
the_green-eyed_monster,Angry
thirstili,Happy
thirstily,Happy
thrill,Happy
thunderstruck,Surprise
tickl,Happy
tickle,Happy
timid,Fear
timidity,Fear
timidly,Fear
timidness,Fear
timor,Fear
timorous,Fear
timorously,Fear
timorousness,Fear
tired_of,Angry
titil,Happy
titillate,Happy
titillated,Happy
titillating,Happy
titillation,Happy
togeth,Happy
togetherness,Happy
top,Surprise
toppingly,Surprise
torment,Angry
tranc,Happy
trance,Happy
tremend,Surprise
tremendous,Surprise
trepid,Fear
trepidation,Fear
trepidly,Fear
triumph,Happy
triumphal,Happy
triumphant,Happy
triumphantly,Happy
trounc,Surprise
trounce,Surprise
turn_off,Angry
tyrann,Sad
tyrannical,Sad
tyrannous,Sad
ugli,Fear
ugly,Fear
umbrag,Angry
umbrage,Angry
umbrageous,Angry
unassert,Fear
unassertive,Fear
unassertively,Fear
unassertiveness,Fear
uncheer,Sad
uncheerful,Sad
uncheerfulness,Sad
uneasili,Fear
uneasily,Fear
unhappi,Sad
unhappiness,Sad
unhappy,Sad
unkind,Fear
unsur,Fear
unsure,Fear
unworri,Happy
unworried,Happy
uplift,Happy
uproari,Happy
uproarious,Happy
uproariously,Happy
urg,Happy
urge,Happy
urge_on,Happy
veng,Angry
vengefully,Angry
vengefulness,Angry
venom,Angry
vex,Angry
vexat,Angry
vexati,Angry
vexation,Angry
vexatious,Angry
vexed,Angry
vexing,Angry
vile,Angry
vindict,Angry
vindictive,Angry
vindictively,Angry
vindictiveness,Angry
walk_on_air,Happy
wallow,Happy
warm,Happy
warmheart,Happy
warmhearted,Happy
warmheartedness,Happy
warmth,Happy
warpath,Angry
weak,Happy
weakness,Happy
weep,Sad
weepi,Sad
weepiness,Sad
weeping,Sad
weight,Sad
Weltschmerz,Sad
wick,Angry
wicked,Angry
with_empathi,Happy
with_empathy,Happy
with_happi,Happy
with_happiness,Happy
with_hostil,Angry
with_hostility,Angry
with_prid,Happy
with_pride,Happy
with_sympathi,Happy
with_sympathy,Happy
woe,Sad
woebegon,Sad
woebegone,Sad
woeful,Sad
woefulli,Sad
woefully,Sad
woefulness,Sad
wonder,Surprise
wonderful,Surprise
wonderfully,Surprise
wonderment,Surprise
wondrous,Surprise
wondrously,Surprise
world-weari,Sad
world-weariness,Sad
world-weary,Sad
worri,Happy
worry,Happy
worship,Happy
worshipful,Happy
wrath,Angry
wrathful,Angry
wrathfully,Angry
wretch,Sad
wretched,Sad
wroth,Angry
wrothful,Angry
yucki,Angry
yucky,Angry
zeal,Happy
zealous,Happy
zest,Happy
zestfulness,Happy
worked up,Angry
 'acquitted',Happy
 'adorable',Happy
 'adored',Happy
 'affected',Surprise
 'afflicted',Sad
 'aghast',Fear
 'agog',Surprise
 'agonized',Sad
 'alarmed',Fear
 'amused',Happy
 'angry',Angry
 'anguished',Sad
 'animated',Happy
 'annoyed',Angry
 'anxious',Surprise
 'apathetic',Sad
 'appalled',Angry
 'appeased',Happy
 'appreciated',Happy
 'apprehensive',Fear
 'approved of',Happy
 'ardent',Fear
 'aroused',Fear
 'attached',Happy
 'attracted',Surprise
 'autonomous',Happy
 'awed',Fear
 'awkward',Sad
 'beaten down',Sad
 'beatific',Happy
 'belonging',Happy
 'bereaved',Sad
 'betrayed',Angry
 'bewildered',Surprise
 'bitter',Angry
 'blissful',Happy
 'blithe',Happy
 'blocked',Sad
 'blue',Sad
 'boiling',Angry
 'bold',Fear
 'bored',Sad
 'brave',Fear
 'bright',Happy
 'brisk',Happy
 'calm',Happy
 'capable',Fear
 'captivated',Happy
 'careless',Sad
 'categorized',Happy
 'cautious',Fear
 'certain',Fear
 'chagrined',Sad
 'challenged',Surprise
 'chastised',Sad
 'cheated',Angry
 'cheerful',Happy
 'cheerless',Sad
 'cheery',Happy
 'cherished',Happy
 'chicken',Fear
 'cocky',Happy
 'codependent',Happy
 'coerced',Angry
 'comfortable',Happy
 'common',Fear
 'competent',Fear
 'complacent',Sad
 'composed',Fear
 'concerned',Surprise
 'confident',Fear
 'confused',Surprise
 'connected',Happy
 'conned',Angry
 'consumed',Fear
 'contented',Happy
 'controlled',Sad
 'convivial',Happy
 'cornered',Happy
 'courageous',Fear
 'cowardly',Fear
 'craving',Surprise
