Tweets,User,User_location,fav_count,rt_count,tweet_date
India Lockdown #IndiaLockdown #COVID19 #MigrantCrisis https://t.co/2ZvP008e5A,Vimal Chandran,Bangalore/India,1,1,2020-05-29 14:57:39
Gdp growth 11 years slow hogaye hai ..... government kaise cover karenge ye saab ...youth ko jawab chaye… https://t.co/92J3nHwzpH,QuaziMoin,,1,0,2020-05-29 14:24:15
"Stay safe and stay informed!

#coronavirus #lockdown2020 #timesofindia #lockdown4 #coronavirusoutbreak #covid_19… https://t.co/iMgURJbAOx",The Times Of A Better India,,0,0,2020-05-29 14:20:30
"Mumbai: Equity benchmark ended higher on Friday. At close, the Sensex was up 223.51 points or 0.69% at 32,424.10, a… https://t.co/Wc40uJIyVc",Mango News,Hyderabad,1,0,2020-05-29 12:45:00
"494 domestic flights ferried 38,078 passengers in India on Thursday: Government #HardeepSinghPuri #Indialockdown… https://t.co/2KxBUmj0pu",The Hans India,Hyderabad,0,0,2020-05-29 12:33:18
"#Chandigarh: Except for recording 91% recovery rate in India, #Punjab is successful in maintaining the lowest… https://t.co/GjnlKtwpLI",The Inquilab Express,,0,0,2020-05-29 12:18:01
Interesting data!! Currency in circulation up by 10% in #indialockdown !! who is hoarding?? Any views? https://t.co/tvMHFrh6uU,Mehul Patel,,0,0,2020-05-29 11:53:28
"when villagers pronounced ""school"" as "" इस्कुल"" we all laughed, but we are now by default pronouncing the same “e-s… https://t.co/Mp5BhX1P4e",Kalpak Shah,Mumbai,0,0,2020-05-29 11:15:26
"Centre Seeks CMs Opinion On #Lockdown5 

#LockdownExtension #CoronaVirus #COVID19 #IndiaLockdown #CoronaLockdown https://t.co/YfkWYkSBuR",Hi Hyderabad,"Hyderabad, India",1,0,2020-05-29 10:49:26
Govt deciding on extending lockdown for the 5th time. Meanwhile “Me”🤣 #IndiaLockdown #COVID19 #coronavirus… https://t.co/yAVqwap3jP,Akshay Dinani,,0,0,2020-05-29 09:38:09
"Punjab : 2 People including 1 RPF personnel died due to Coronavirus. 20 New patients found.

Report by :… https://t.co/EccRhcbzO1",The Inquilab Express,,2,0,2020-05-29 08:51:12
"..
🇮🇳 Meanwhile in India....

👟 A gift of shoes and the long walk home ~ in searing heat ~ continues for many migra… https://t.co/FBYmTLTURW",🙏 Noor un Nisa 🪔,As Karma determines (OC RP21+),9,2,2020-05-29 07:51:14
"Schools in West Bengal to remain closed till June 30

@itspcofficial #covid19 #Indialockdown #CycloneAmphan

https://t.co/KRgm88dsGU",EducationWorld India,India,3,1,2020-05-29 07:09:59
"Covid-19: Supply chain disruptions are over in pharma sector, says Dr Reddy’s CFO
#SupplyChain #Pharma… https://t.co/TY2N4e7WRi",ETCFO,"Noida, India",1,1,2020-05-29 05:57:17
I am gonna stop making junk food and posting photos on instagram as I am expecting the lockdown to end in the next… https://t.co/nvqf2Z7kRq,Pratik Girme,Pune,0,0,2020-05-29 05:54:46
I am gonna stop making junk food at home coz I am expecting the lockdown to open #lockdown #Indialockdown #Lockdownextension,Pratik Girme,Pune,0,0,2020-05-29 05:48:34
India Lockdown 4.0: FM reviews economy; GDP data will release today and SC slaps govts over migrant issues… https://t.co/9Ymcfc4zPg,ETCFO,"Noida, India",0,0,2020-05-29 05:47:47
"https://t.co/axjtQe8oT9 

Impact of decisions on ""4 hour notice""

Many banks &amp; financial institutions reviewing the… https://t.co/oJ1OV3IbM4",Vinoo Titty George,The world ,0,0,2020-05-29 05:02:36
"CoronaVirus Latest Updates In Andhra Pradesh, Telangana And India At 10:30 AM On 29th May 2020.… https://t.co/bBY3S6A9dC",Mango News,Hyderabad,0,0,2020-05-29 05:00:00
"It cracks me up when people think the world is so unfair and cruel, when they are only dealing with the consequence… https://t.co/LJN5VqqzZp",LoneWolf.64,Namibia,0,0,2020-05-29 04:11:50
"Maintain social distance in bus stands and public places. 

#Corona #StayHomeStaySafe #NGO #IndiaLockDown… https://t.co/HL97Ortx4Q",Tapasvi,"Hyderabad, India",0,0,2020-05-29 04:03:07
"66 Days of Laziness #lockdownextension #KehDiyaNaaBaasKehDiya
#IndiaFightsCorona #indialockdown https://t.co/OX3nGYu501",Manners Maketh Man,earth,0,0,2020-05-29 04:01:10
At least some people will still have faith in humanity! @NLSIUofficial #MigrantsCrisis #migrants #airasia… https://t.co/ualPY9g6LY,Preeti Anand,,1,0,2020-05-29 03:22:43
"""How 2 #TribalWomen Fled Debt Bondage, #Rape Amid Lockdown in B’luru"" -https://t.co/3CoBesv6gA
#IncredibleIndia #bondedlabour #indialockdown",Men 4 Womens Rights,,0,0,2020-05-28 18:11:41
"Let's get the virus away by keep the limited spirit.

#coronathoughts #stayaware #coronastopkarona #coronamatkarona… https://t.co/1zNBwm49ef",agus anggayana,,0,0,2020-05-28 17:47:49
@ajinkyabapat1 @sardesairajdeep Don't feel intimidated by Kant. #india #indialockdown @NITIAayog,frankee chacko,"Navi Mumbai, India",0,0,2020-05-28 17:38:25
"Nowadays media
#coronavirus
#ChineseVirus19
#media
#IndiaFightsCorona
#indialockdown https://t.co/zAaYfXiFG6",🇮🇳★₮ꍏꋪꌈ₦✶🇮🇳,India,0,0,2020-05-28 17:04:49
"As if Lockdown 4.0 was of any help,  we have entered #Lockdown5 #indialockdown",Preethi Agnes,India,0,0,2020-05-28 14:11:02
"CoronaVirus Latest Updates In Andhra Pradesh, Telangana And India At 07:30 PM On 28th May 2020.… https://t.co/PPygwzaTOd",Mango News,Hyderabad,0,0,2020-05-28 14:00:00
"What are you talking about? 
Without labour, the country's devolopment cannot be predicted.The pre-independence and… https://t.co/ExPaH4gJEh",Shameer Shazin,"मैंगलोर, भारत",2,2,2020-05-28 13:31:33
had que frm d intelligent persons #COVID19 #indialockdown #BJPFailsGujarat only 1 person allowed on 2wheler and mor… https://t.co/HWRjbYKxkD,Vatsal Patel,,1,0,2020-05-28 13:03:11
"Implementing your fascist ideology, 
Your attempt to steal the right of labor,poor and minority.I will remind you,… https://t.co/lLY2K5tuJ8",Shameer Shazin,"मैंगलोर, भारत",3,3,2020-05-28 12:17:04
"Traditional way to SIP!
Follow &amp; like Us to get best guidance, Updates &amp; #InvestingTips about #MutualFund.
.
.
.… https://t.co/VmjFfyadOC",Invest My Funds,"416, Laxmi Deep Building",1,0,2020-05-28 11:22:03
"They Need your help 👉🏽 https://t.co/rOF9hol6da   

#covid19 #indialockdown #HelpingHands #helpinghomless #kokavlogs https://t.co/EZi7mmvRXE",Pratik Suryawanshi,"Andheri West, Mumbai",1,0,2020-05-28 10:43:59
"Fried Chicken Wings By Me..
#ChickenWings #FriedChicken #HomeMade #FitnessFood #HealthyFood #FoodBlog #FoodBlogger… https://t.co/jsHORdGvlW",Gagan,"Delhi, India",0,0,2020-05-28 10:06:32
"Your view: Is the Modi govt doing enough to feed India's hungry?

https://t.co/DxYaCvqIQH

#NarendraModi… https://t.co/ZJCksFk9I7",Yahoo India,World Wide Web,0,0,2020-05-28 09:27:39
Heart-breaking video of toddler trying to wake up his Lifeless mother at Bihar Railway Station. According to her fa… https://t.co/DJtPxKtnGs,ABN Telugu,"Jubilee Hills, Hyderabad",34,10,2020-05-28 07:46:24
"More #COVID19 #testing https://t.co/sTwW8NhepP .
#Important to #help patients and extend care. Stopping spread of t… https://t.co/oPdQ7ihAYD",Nutrafy,"Gurgaon, India",0,0,2020-05-28 06:12:00
"CoronaVirus Latest Updates In Andhra Pradesh, Telangana And India At 10:30 AM On 28th May 2020.… https://t.co/ZX4DfWDoUW",Mango News,Hyderabad,0,0,2020-05-28 05:02:12
"40 doctors attached to the 1 Rupee Clinic will from today, offer to treat 800 #asymptomatic and mildly #symptomatic… https://t.co/P7JSRWe9pT",Mumbai Mirror,"Mumbai, India",37,5,2020-05-28 04:50:00
@BSNLCorporate What about the #Pan #India #bsnlfightscorona Tariff offer given to all  Indian states even to… https://t.co/8YmIMm3v7a,Iamindian,,3,4,2020-05-28 01:25:32
"#India: Official estimates undercount short-term migrants who are the most vulnerable, and differ significantly fro… https://t.co/6Q4w3iGPSw",South Asia Center,"Washington, DC",0,2,2020-05-27 22:00:00
He @Shehzad_Ind   said it all with such en ease that I don't think anyone else could have managed...but central gov… https://t.co/NoInA6IMJT,shubham agrawal,,1,0,2020-05-27 20:12:10
"The #COVID19 pandemic &amp; #IndiaLockdown have highlighted #India's inequalities.

There is an immediate need to provi… https://t.co/UYAH9giqLb",iPartnerindia_Canada,"Toronto, Ontario",9,3,2020-05-27 18:47:06
"D64 of #IndiaLockdown. Honour your Gods, Love your family and defend your country. Follow social (physical) distanc… https://t.co/s0HO9bb24M",Neeraj Kumar Jadaun,,37,7,2020-05-27 18:45:48
Similar yet different: making sense of COVID 19 epidemiological models in Indian context! #epidemiology… https://t.co/S08KBDBjq5,Ria Saha,"London, United Kingdom",0,0,2020-05-27 18:13:55
@PuneCityPolice In an extraordinary humanitarian gesture API Satish Umare and his colleagues deliver life-saving dr… https://t.co/5p5Ia76Zbd,Pune Mirror,Pune,14,2,2020-05-27 17:15:39
"#MumbaiLockdown: @mybmc revises testing guidelines once again

#COVID19 #IndiaLockdown #StayHome… https://t.co/XqpsBinLVA",Mumbai Mirror,"Mumbai, India",21,7,2020-05-27 17:13:16
"India Lockdown 4.0: COVID-19 India Blueprint, more states allow flights with conditions https://t.co/nwo9qtB4kn #indialockdown",BC Gupta,New Delhi,0,0,2020-05-27 16:03:31
Jobs crisis during  this Covid-19 pandemic😱#COVID__19 #pandemic #COVID #jobfairy #jobcrisis #India #indialockdown… https://t.co/NfzuWpdvNV,Navnesh Sahani,"Uttar Pradesh, India",0,2,2020-05-27 14:41:26
"Death toll in Tamil Nadu rises to 133.

#IndiaLockdown #COVID19 #StayHome

https://t.co/Bitf0cGaaS",Mumbai Mirror,"Mumbai, India",16,3,2020-05-27 14:40:34
"Select answers will be published in The Times of India newspaper.  

#lockdownfaq #lockdown2020 #lockdown4… https://t.co/WwiGbQJGfA",The Times Of A Better India,,0,0,2020-05-27 14:25:41
"CoronaVirus Latest Updates In Andhra Pradesh, Telangana And India At 70:30 PM On 27th May 2020.… https://t.co/NwaJSPFkWv",Mango News,Hyderabad,0,0,2020-05-27 14:00:00
