Tweets,User,User_location,fav_count,rt_count,tweet_date
"@rameshlaus Even Chinese population is 145 cr and there death rate is 5000 only,. Plz stop comparing like bullshits… https://t.co/pIUehx4coe",Ethi Emman 💥,"Chennai, India",0,0,2020-06-05 18:45:50
"#Failedlockdown
Side effects on Economy
Unemployment rate increasing
No salary to pay
Jobless people
No sale
No lab… https://t.co/j0RAH7b9NP",NEELAM VAISH SINGH,Lucknow ,1,0,2020-06-05 18:43:37
"Pain to Migrants 
Gain to BJP from PM Cares.
#FailedLockdown https://t.co/6aW6SZDnUg",Tabish,"Jaipur, India",26,15,2020-06-05 18:42:21
"@Varun_Jhaveri Listen clearly, he said the lockdown was failed #FailedLockdown #lockdown",Ethi Emman 💥,"Chennai, India",0,0,2020-06-05 18:41:30
"#Failedlockdown @WithCongress
Lockdown was supposed to begin in Feb...when we had very few cases in India..borders… https://t.co/ZgmLTDPt1X",NEELAM VAISH SINGH,Lucknow ,0,0,2020-06-05 18:38:46
"Thanks to the poor implementation and low testing, the Lockdown has completely failed. #FailedLockdown 
A tale of… https://t.co/rZPunbzEw2",Mahir Khan ماہیر خان,"Rasoolpur Unchahar RBL, India—",2,1,2020-06-05 18:37:40
#India is the only country in the world where Covid19 cases increased rapidly AFTER lockdown was imposed and kept o… https://t.co/D4Pw79hyWm,Mahir Khan ماہیر خان,"Rasoolpur Unchahar RBL, India—",0,0,2020-06-05 18:36:47
"Yesterday Gujarat
BJP bought 2 Cong MLAs for Rajya Sabha election.
Today 3 BJP MLAs tested COVID positive so they c… https://t.co/kSzZl5qAav",Abu Ahmed Md Kasim,"करीमगंज, भारत, आसाम, बदरपुर",0,0,2020-06-05 18:35:51
I really don't care about economy and all bullshit at this time but what pains me is that this tyranny killed peopl… https://t.co/pheCtaQOFM,Alexander Supertramp😕,"Tamil Nadu, India",0,0,2020-06-05 18:35:03
"#FailedLockdown
Lockdown 100failed https://t.co/S87tlBKBDw",Fahad uddin,India,0,0,2020-06-05 18:34:52
"Govt says, Lockdown was for reducing cases. Instead, we se 2 lacs+ cases after opening up.Yeh chal kya raha hai? 

#FailedLockdown",waseem patel,India,0,0,2020-06-05 18:34:21
"#FailedLockdown 
D Draconian Unplanned Lockdown
 Failed 2 Control Pandemic
Failed 2 Check Economy 👎
Created Migrant… https://t.co/t33a2PPeo0",Ajay 1712,"Uttar Pradesh, India",13,12,2020-06-05 18:33:04
India is the only country where the lockdown is lifted up even Covid-19 cases are rising rapidly. #FailedLockdown https://t.co/88idpwMXFy,Priyansh Purwar,,0,0,2020-06-05 18:32:50
#FailedLockdown look at this heartless person's statement. Bakts can go to any extent to defend their Supreme leade… https://t.co/wpqV1WmoPc,congressi,christendom,0,0,2020-06-05 18:32:21
"Thanks to the poor implementation and low testing, the Lockdown has completely failed. #FailedLockdown 
A tale of… https://t.co/bx1AlkaAB5",Abu Ahmed Md Kasim,"करीमगंज, भारत, आसाम, बदरपुर",0,0,2020-06-05 18:32:06
"When unplanned lockdown was announced India was not even in top 25 countries..
Now due to
#FailedLockdown
India is… https://t.co/6FAMoMv3Cl",Pritesh Shah,India,24,15,2020-06-05 18:31:19
So Italy's no's are breached now officially !! #FailedLockdown,Sanjay | ಸಂಜಯ್,Somewhere on the other side,2,0,2020-06-05 18:29:42
"Modi taking india again towards 1947.
We want Gandhi to save india with illiterate govt. 
#FailedLockdown… https://t.co/ckz8MFzG4z",Abu Ahmed Md Kasim,"करीमगंज, भारत, आसाम, बदरपुर",1,0,2020-06-05 18:29:24
"#FailedLockdown
Lockdown 1: Tali Thali
Lockdown 2: Diya Mombatti
Lockdown 3: Flower petals
Lockdown 4: Aatmanirbhar… https://t.co/jXX1Tv6wfG",Abu Ahmed Md Kasim,"करीमगंज, भारत, आसाम, बदरपुर",1,0,2020-06-05 18:28:31
"Cunning Sanghis... @rammadhavbjp claims 1.3 billion people are United, while @BBCHARDtalk categorically quoted Kapi… https://t.co/1razb1wFUQ",Abu Ahmed Md Kasim,"करीमगंज, भारत, आसाम, बदरपुर",1,0,2020-06-05 18:28:21
