Tweets,User,User_location,fav_count,rt_count,tweet_date
A homeopathic medicine called Arsenic album is being sold in name of prophylactic medicine for #COVID19India. I req… https://t.co/ZYa8k5gq8R,Anurag Anand,"New Delhi, India",0,0,2020-06-05 19:12:49
"RT @krupalp555: @ManipalUni @ugc_india @PMOIndia   DU has cancelled their exams.
Most of the colleges in Mumbai have cancelled their exams.…",Ambarish Sengupta,,0,7,2020-06-05 19:11:54
"#coronavirus update from #India 🇮🇳:
05/06/2020 

Total cases : 2,36,001
Active cases : 1,16,109
Death cases :6649
R… https://t.co/TEH2jUg1ca",Raj Vaish,India,1,1,2020-06-05 19:11:51
"RT @LavekarBharati: Our Volunteers Distributing Essential Grocery Packets &amp; #Sanitary_Pads,to Needy People in #Ward_61 #Versova_Vidhansabha…",Nilesh (Raja)Chavan,,0,9,2020-06-05 19:11:31
"RT @LavekarBharati: Our Volunteers Distributing Essential Grocery Packets &amp; #Sanitary_Pads,to Needy People in #Ward_61 #Versova_Vidhansabha…",Nilesh (Raja)Chavan,,0,6,2020-06-05 19:11:08
"RT @jijesh_rj: #COVID19India awareness with Thalaivar Rajinikanth 2.0 Chitti Cartoon in kerala 😍 

Firing , Fighting the Corona with multip…",hariKrishNaN 2.0,Kerala,0,14,2020-06-05 19:10:55
"RT @LavekarBharati: Our Volunteers Distributing Essential Grocery Packets &amp; #Sanitary_Pads,to Needy People in #Versova_Vidhansabha who are…",Nilesh (Raja)Chavan,,0,2,2020-06-05 19:10:30
"@aajtak @republic 
I have not seen entire day debate on analysis of below graph. Why is it so? News channel does no… https://t.co/4EnvJx3C4e",Rakesh Bhaskar,,1,0,2020-06-05 19:10:28
Corona se dar ni lgta shahab Government ke medical service se lgta h 😨 #CoronavirusInIndia #COVID19India,Kriti Sharma,,0,0,2020-06-05 19:10:14
"RT @ArshadRizwan: Famous Gujarat model versus the world model!

The worst seems to be just starting....
#COVID19India https://t.co/ri8ZhsNN…",Rajan Joseph,Switzerland,0,35,2020-06-05 19:10:09
"I think night curfew also been removed?? Bcoz 4 Murders in a single day happened?? 
Sir @CPHydCity @TelanganaCOPs p… https://t.co/PWs29IrUTA",Mohd Mahameed,"Hyderabad, India",1,1,2020-06-05 19:10:05
"RT @igtamil: OFFICIAL! Arya Sayyesha Wedding ❤️Video
#Arya #sayyeshaa #DreamWedding #Teddy #Kaappan #KadaikuttySingam #tamilactress @TamilA…",प्रवीण डी,India,0,3,2020-06-05 19:09:42
"Lessons from Bhagavad Gita during covid times. European Heart Journal.

#COVIDJournalClub 
#COVID19India https://t.co/0t9rgOsNXc",Shashidhar Bangalore Spine Surgeon,"Bengaluru, India",1,0,2020-06-05 19:09:42
"RT @ArshadRizwan: Famous Gujarat model versus the world model!

The worst seems to be just starting....
#COVID19India https://t.co/ri8ZhsNN…",Ramakrishna Nimbagal, Ballari District ,0,35,2020-06-05 19:09:33
"RT @AnilTpyc: Very bad situation in Hyderabad
What @TelanganaCMO doing.
#KCRFailedTelangana 
#COVID19India https://t.co/8EsHTcjmrW",Abhilash Pamar,,0,5,2020-06-05 19:08:56
